# Daftar No. Registrasi di Database_Approval_SPV_BQ_Testing.xlsx yang TIDAK ada di tabel pengajuan_bq (Supabase)
# Total: 440
# Format: no_registrasi | status_SPV_file | kategori_SPV_file
---
290x493x46 | Approve | Normal
INNRO0001 | Reject | Normal
MFHBR0002 | Approve | Normal
MFHBR0003 | Approve | Normal
MFHBR0004 | Approve | Normal
MFHBR0005 | Approve | Normal
MFHBR0006 | Approve | Normal
MFHBR0007 | Approve | Normal
MFHBR0008 | Approve | Normal
MFHBR0009 | Approve | Normal
MFHBR0010 | Approve | Normal
MFHBR0011 | Approve | Normal
MFHBR0012 | Approve | Normal
MFHBR0013 | Reject | Normal
MFHBR0014 | Approve | Normal
MFHBR0015 | Approve | Normal
MFHBR0016 | Approve | Normal
MFHBR0017 | Approve | Normal
MFHBR0018 | Approve | Normal
MFHBR0019 | Approve | Normal
MFHBR0020 | Approve | Normal
MFHBR0021 | Approve | Normal
MFHBR0022 | Approve | Normal
MFHBR0023 | Approve | Normal
MFHBR0024 | Approve | Normal
MFHBR0025 | Approve | Normal
MFHBR0026 | Approve | Normal
MFHBR0027 | Approve | Normal
MFHBR0028 | Approve | Normal
MFHBR0029 | Approve | Normal
MFHBR0030 | Approve | Normal
MFHBR0031 | Approve | Normal
MFHBR0032 | Approve | Normal
MFHBR0033 | Approve | Normal
MFHBR0034 | Approve | Normal
MFHJA0001 | Approve | Normal
MFHJA0002 | Approve | Normal
MFHJA0003 | Approve | Normal
MFHJA0004 | Approve | Normal
MFHJA0005 | Approve | Normal
MFHJA0006 | Approve | Normal
MFHJA0007 | Approve | Normal
MFHJA0008 | Approve | Normal
MFHJA0009 | Approve | Normal
MFHJA0010 | Approve | Normal
MFHJA0011 | Approve | Normal
MFHJA0012 | Approve | Normal
MFHJA0014 | Approve | Normal
MFHJA0015 | Approve | Normal
MFHJA0016 | Approve | Normal
MFHJA0017 | Approve | Normal
MFHJA0018 | Approve | Normal
MFHJA0019 | Reject | Normal
MFHJA0020 | Approve | Normal
MFHJA0021 | Approve | Normal
MFHJA0022 | Approve | Normal
MFHJA0023 | Approve | Normal
MFHJA0024 | Approve | Normal
