"item_code","deskripsi","qty_on_hand","min_stock","max_stock","is_critical","lokasi_rak"
"O-16725-00","3 Way Ball Valve SS304 3/4 inch c/w Pneumatic Actuator + Selenoid 24 VDC, NOCHRIDA SEJAHTERA, PT P/N : -  set","1","1","2","Ya","H-3-14"
"T-20123-00","Acquity PDA/TUV 2489/2998 Perf Main Kit (lampu HPLC); Waters; P/N 201000281; 1 pc","0","5","16","Ya","-"
"O-15554-00","AIRTIGHT DOOR MOTOR ; HALSTRUP &SAIA :GEAR MOTOR N100/SO - UFR1 - UL; SUPPLY VOLTAGE: 24VAC;FREQUENCY: 50HZ; OUTPUT TORQUE: 15NM; MOTOR SPEED: 0.5 U/MIN (R1:1000);","0","1","1","Ya","-"
"O-17376-00","Autoclave Fedegari FOF / 6 AC - Kit DN22 Valve Mod; p/n: KK000310; ; ;","8","1","10","Ya","H-3-13"
"O-50834-00","Autoclave Fedegari FOF / 6 AC - P/N. GM805664 Pressure Transducer and Mouting Par Replaces CD230046; ; ;","0","1","2","Ya","-"
"O-50697-00","Autoclave Fedegari FOF / 6 AC - P/N. KK000304-KIT RICAMBI VALV.DN16 ON-OFF","5","5","15","Ya","H-3-13"
"O-53568-00","Autoclave Fedegari FOF / 6 AC - Transition Joint RTD Sensor RTJ201 (SG-060503) PT100 4W Duplex; Radix; RTJ201-1-C-D-3-0-NA-XNA-05-00070-10-Si-PN-XXX; 1 Pc","6","2","6","Ya","-"
"O-53645-00","Autoclave Fedegari FVA2/A1 - Pressure Transducer PBMN 23 (CD230065); Baumer; -; 1 Pc","0","1","3","Ya","-"
"O-21648-00","Autoclave Fedegari FVA2/A1 NB2963AT - DN16 Modulating Valve Spare Parts; Fedegari; KK000305; 1 Pc","0","5","15","Ya","-"
"O-16731-00","Autoclave Fedegari FVA2/A1 NB2963AT - KIT Ricambi Valv. DN10 ON-OFF FEDEGARI ASIA PTE LTD P/N : KK000301 pc","0","8","16","Ya","-"
"O-16732-00","Autoclave Fedegari FVA2/A1 NB2963AT - KIT Ricambi Valv. DN10 ON-OFF FEDEGARI ASIA PTE LTD P/N : KS000025 pc","3","4","20","Ya","I-3-5"
"O-52210-00","Autoclave Fedegari FVA2/A1 NB2963AT - Level Transmitter code 15218 2m p/n: CD050024; ; ;","0","1","3","Ya","-"
"O-53441-00","Autoclave Service NA2247AU - Pressure Transducer MOD. PBMH 24; Fedegari; CD230063; 1 Pc","1","1","2","Ya","H-3-6"
"P-10387-00","Ball Valve Kuningan 3/4"" KITZ","2","2","2","Ya","S-2-7"
"P-10390-00","Ball Valve PVC 1""","6","2","4","Ya","-"
"P-10391-00","Ball Valve PVC 2""","2","2","2","Ya","-"
"P-11836-00","Ball valve PVC dia 1 1/4 inch drat","2","1","2","Ya","T-3"
"P-11837-00","Ball valve PVC dia 1 inch drat","0","1","1","Ya","-"
"O-14616-00","Black arm system for Rotating pincer pneumatic cylinder SINAR MUTIARA CAKRABUANA, PT C/N : 33661 pc","0","1","2","Ya","-"
"O-16706-00","Capping VCM200 - Coupling for Encoder NBK MST 32 - P/N : -  pc","2","1","2","Ya","A-1-3C"
"O-15566-00","CAPS HOPPER MINIMUM LOAD SENSOR ; WORLD BEAM QS18VP6LAF250Q5 LASER ADJUSTABLE FIELD","0","1","1","Ya","-"
"O-15567-00","CAPS MINIMUM LOAD SENSOR ; HIGH PRECISION OPTICAL FIBER FU-7F","0","1","1","Ya","-"
"O-15569-00","CHAMBER AIR INLET PNEUMATIC VALVE ; VP3 ;","0","0","1","Ya","-"
