"item_code","deskripsi","qty_on_hand","min_stock","selisih","lokasi_rak"
"P-50717-00","General - Kabel UTP 4 Pairs Cat 6; Belden; -; 305m/roll","0","100","100","-"
"P-51559-00","General - Lampu TL T5 14 W White; Philips; -; 1 unt","0","30","30","-"
"T-80109-00","Cellotape / Lakban Kertas 1 inch warna Putih ; No Brand ; pack size per pcs","0","30","30","-"
"O-21720-00","General - Sleeves CSM 001642 M200/90 Y 550 E4 Bt5/5 Thikness 4/10; Piercan; SP010822; 1 Pc","0","24","24","-"
"O-16007-00","Silicone Sucker 01.10.10; P/N : 201119; ; ;","0","20","20","-"
"O-20950-00","Capping VCM200 - Silicone Sucker 01.10.10; Steriline; 201119; 1 Pc","0","20","20","-"
"P-14877-00","General - Kabel NYYHY 3 x 2.5mm; SUPREME; -; 1 meter","0","20","20","-"
"S-11400-00","Majun AA, No Brand, Budhi Supplies, pack size per kg","0","20","20","-"
"P-53102-00","Lampu PLC 13watt/E27 Putih; Phillips; ;","0","10","10","-"
"O-15696-00","SILICONE SUCKER 01.11.16; PART NO :202082","0","10","10","-"
"O-21091-00","Capping VCM200 - SILICONE SUCKER 01.11.16;","0","10","10","-"
"P-10945-00","General - Seal Tape 1inch; ONDA; -; 1 Pcs","0","10","10","-"
"P-13714-00","Autoclave Fedegari FVA2/A1 NB2963AT - Oring Viton 29 x 22 x 3.5 mm","0","10","10","-"
"P-51560-00","General - Lampu TL T5 28W White; Philips; -; 1 unt","10","20","10","O3"
"O-16032-00","General - Sleeves M200/90 Y 550 E4 Bt5/5 BJ, Material : CSM; Shape : 200/90; Thickness (mm) : 4/10; Leng; Piercan; 1643; 1 Pc","15","24","9","A3"
"O-20487-00","General - Isolator Glove Smaller glove CSM  (AS : E10330 Y 7 E4); Austar; ; 1 Pc","1","10","9","B-5"
"O-16731-00","Autoclave Fedegari FVA2/A1 NB2963AT - KIT Ricambi Valv. DN10 ON-OFF FEDEGARI ASIA PTE LTD P/N : KK000301 pc","0","8","8","-"
"P-15351-00","FESTO - Plastic tubing PUN-10x1,5-BL (Blue) p/n 159668; ; ;","44","50","6","Atas Flammable"
"O-21648-00","Autoclave Fedegari FVA2/A1 NB2963AT - DN16 Modulating Valve Spare Parts; Fedegari; KK000305; 1 Pc","0","5","5","-"
"T-20123-00","Acquity PDA/TUV 2489/2998 Perf Main Kit (lampu HPLC); Waters; P/N 201000281; 1 pc","0","5","5","-"
"O-17393-00","Autoclave Fedegari FOF / 6 AC - O-Ring 6.02x2.62; p/n. CC150168; ; ;","0","5","5","-"
"O-17395-00","Autoclave Fedegari FOF / 6 AC - O-Ring 10.78x2.62; p/n. CC150169; ; ;","0","5","5","-"
"O-21649-00","Autoclave Fedegari FVA2/A1 NB2963AT - Water Presence Probe Kit and OR Seal; Fedegari; KK000080; 1 Pc","0","5","5","-"
"O-54013-00","SOCKET RJ 45 CAT 5","0","5","5","-"
"P-12279-00","FESTO - QS-1/8-6 Push-In fitting p/n 153002","0","5","5","-"
"P-12305-00","FESTO - QST-6 Push in t-connection p/n 153129","0","5","5","-"
"P-52854-00","General - Socket RJ45 Cat 6; Belden; -; 50pcs/pack","0","5","5","-"
"Q-10845-00","Fitting Lampu Bholam E27; ; ; pcs","0","5","5","-"
"Q-60025-00","Kuas Cat Uk. 1 inch;Eterna;Tipe 611;pack size per pcs","0","5","5","-"
"S-40645-00","Cable Ties, 200 x 4.8 mm; SIGMA; CS 200L; Putih;100 pcs/pack","0","5","5","-"
"O-14642-00","General - Silicone Gasket for Ferrule dia. 2,5""; -; -; 1 Pc","6","10","4","M3"
"Q-60502-00","Silicone Sealant;Silglaze;Type N10 White;pack size per pcs","1","5","4","Q1"
"O-16982-00","Freeze Dryer MBE1207 - Diaphrapm DA008ER M4 Saunders CIPTA SOLUSI ANDALAN, PT P/N : -  pc","0","3","3","-"
"P-10874-00","General - Reducer, PVC, 1"" x 1/2""; Rucika; -; 1 pcs","2","5","3","F-2"
"P-14453-00","General - Filter IAF MB Series (Medium Filter), efficiency : 60-65 %, Size: 24 x 24 x 12 inch; IAF; -; 1 pcs","0","3","3","-"
"P-50956-00","Fuse kaca 2A 6x30","0","3","3","-"
"Q-10946-00","Silicone Sealant;Silglaze;Type N10 Light Grey;pack size per pcs","0","3","3","-"
"Q-50013-00","Frame or Perimeter Seal RP48 White; Raven; R48W6; 6 meter/pck","0","3","3","-"
"Q-60026-00","Kuas Cat Uk. 2 inch;Eterna;Tipe 611;pack size per pcs","0","3","3","-"
"O-15628-00","LEFT AND RIGHT PINCER ACTUATOR ; SMC :BISTABLE ELECTROVALVE - SV1200-5FU","0","2","2","-"
"O-53414-00","Fedegari FVA2/A1 - Transition joint RTD Sensor (SG-056377) PT100 4Wire, Sx, 1/3 DIN, 5x70mm, SSL, 0-150 C 10M; Radix; RTJ201-1-C-S-3-0-NA-XNA-05-0070-10-Si-PN; 1 Pc","0","2","2","-"
"T-20055-00","PerformancePlus Check Valve Cartridge; Waters; p/n 700002399;","0","2","2","-"
"O-14641-00","General - Silicone Gasket for Ferrule dia. 1""; -; -; 1 Pc","8","10","2","M3"
"O-14644-00","General - Silicone Gasket for Ferrule dia. 4""; -; -; 1 Pc","8","10","2","M3"
"O-15668-00","RIBBED HEATER RCU - 1200W - 230VAC - 50/60HZ - MATERIAL AISI304; PART NO :4561","0","2","2","-"
"O-18344-00","Capping VCM200 - Roller trimmer D=48X18 inclination=7 for alucap D=20; ; ;","0","2","2","-"
"O-20026-00","Freeze Dryer MBE1207 - Temperature Probe PT100 DIN 43760 316 SS Teflon AWG #26 Class A; Minco; S102037PM3R120;","0","2","2","-"
"O-20557-00","Marchesini MA155 - Combination Folding Roller, 21. 4. 0 1/0. 244; -; M660010009; 1 Pc","0","2","2","-"
"O-53334-00","Tunnel ST1L - RIBBED HEATERS RCU 1200W 230VAC 50/60HZ; Steriline; 4561; 1 Pc","0","2","2","-"
"O-54015-00","STOP KONTAK LUBANG 4, BROCO","0","2","2","-"
"P-10019-00","Pre Filter G4 size : 12X24X2","0","2","2","-"
"P-10883-00","General - Socket Drat Dalam, PVC, 1 1/2""; Rucika; -; 1 pcs","0","2","2","-"
"P-10889-00","General - Socket Drat Dalam, PVC AW, 3/4""; Rucika; -; 1 pcs","0","2","2","-"
"P-10891-00","General - Socket Drat Luar, PVC, 1 1/4""; Rucika; -; 1 pcs","0","2","2","-"
"P-10896-00","Fitting PVC - Sock PVC 1 1/4""","0","2","2","-"
"P-10900-00","Fitting PVC - Sock PVC 3 Rucika AW","0","2","2","-"
"P-10908-00","General - Tee, PVC AW, 3/4""; Rucika; -; 1 pcs","0","2","2","-"
"P-10909-00","Fitting PVC - Tee PVC 3 inch Rucika AW","0","2","2","-"
"P-13387-00","Watermur Pvc 1"" Polos Rucika; ; ;","0","2","2","-"
"P-15862-00","PAPER RECORD YOKOGAWA; FOLDING CHART B9565AW","1","3","2","M-4"
"P-51313-00","UTICON - Stop kontak 4 lubang 16-25 V","0","2","2","-"
"P-51894-00","General - Lampu TL LED Bright Boost 18 W; Philips; -; 1 unt","0","2","2","-"
"P-52663-00","General - Solid State Relay (SSR) 3-32VDC 24-330VAC 40A; No Brand; -; 1 Pc","0","2","2","-"
"P-53211-00","LOCTITE High Temperature @ 50 ml","0","2","2","-"
"P-53213-00","Lem Pipa PVC","1","3","2","Flammable"
"Q-10460-00","Magnetic door stopper; Dekson; Part No. MDS 889 SN;","0","2","2","-"
"Q-10715-00","Lem PVC Isarplas Kuas @400gr; ; ;","0","2","2","-"
"S-40640-00","Cable Ties, 150 x 3.6 mm; SIGMA; CS 150T; Putih;100 pcs/pack","0","2","2","-"
"T-20201-00","ASSY,SOLVENT FILTER., Waters, Part No. WAT025531","0","2","2","-"
"O-14616-00","Black arm system for Rotating pincer pneumatic cylinder SINAR MUTIARA CAKRABUANA, PT C/N : 33661 pc","0","1","1","-"
"O-15554-00","AIRTIGHT DOOR MOTOR ; HALSTRUP &SAIA :GEAR MOTOR N100/SO - UFR1 - UL; SUPPLY VOLTAGE: 24VAC;FREQUENCY: 50HZ; OUTPUT TORQUE: 15NM; MOTOR SPEED: 0.5 U/MIN (R1:1000);","0","1","1","-"
"O-15566-00","CAPS HOPPER MINIMUM LOAD SENSOR ; WORLD BEAM QS18VP6LAF250Q5 LASER ADJUSTABLE FIELD","0","1","1","-"
"O-15567-00","CAPS MINIMUM LOAD SENSOR ; HIGH PRECISION OPTICAL FIBER FU-7F","0","1","1","-"
